Thread Count,Trial,Serial Time,Parallel Time,Array Size
1,1,8.930366,9.270009,100000
1,2,8.611591,8.622804,100000
1,3,8.974909,9.121133,100000
2,1,8.743685,6.900094,100000
2,2,8.720791,6.660404,100000
2,3,9.112925,6.729672,100000
3,1,9.508965,6.194542,100000
3,2,9.072080,5.838644,100000
3,3,9.073500,5.190166,100000
4,1,9.009086,4.041620,100000
4,2,9.901118,4.299747,100000
4,3,8.932720,4.103055,100000
5,1,8.944630,3.400698,100000
5,2,8.863217,3.435462,100000
5,3,8.855215,3.375512,100000
6,1,8.984842,2.953418,100000
6,2,8.980707,3.008813,100000
6,3,8.924060,2.960171,100000
7,1,8.967824,2.695263,100000
7,2,9.077669,2.701199,100000
7,3,8.888306,2.717517,100000
8,1,9.127056,2.643681,100000
8,2,9.170296,2.519014,100000
8,3,9.029491,3.850980,100000
