Thread Count,Trial,Serial Time,Parallel Time,Array Size
1,1,4.775388,4.348625,100000
1,2,4.508195,5.131600,100000
1,3,4.309968,4.318799,100000
2,1,4.344353,2.296369,100000
2,2,4.562773,2.402536,100000
2,3,4.335597,2.291001,100000
3,1,4.462577,1.594701,100000
3,2,4.812247,1.563037,100000
3,3,4.511710,1.568809,100000
4,1,4.397362,1.186932,100000
4,2,4.502519,1.177296,100000
4,3,5.006830,1.419726,100000
5,1,4.547932,1.674626,100000
5,2,4.864523,1.116186,100000
5,3,4.901965,1.262225,100000
6,1,4.629299,1.231933,100000
6,2,4.766509,0.999086,100000
6,3,4.577158,1.023769,100000
7,1,4.524940,0.987734,100000
7,2,4.616092,1.100991,100000
7,3,4.574188,0.963472,100000
8,1,4.553313,0.930490,100000
8,2,4.489208,0.897603,100000
8,3,4.490789,0.914484,100000
