Thread Count,Trial,Serial Time,Parallel Time,Array Size
1,1,0.000419,0.000777,100000
1,2,0.000353,0.000142,100000
1,3,0.000354,0.000146,100000
2,1,0.000352,0.000145,100000
2,2,0.000353,0.000137,100000
2,3,0.000352,0.000118,100000
3,1,0.000358,0.000147,100000
3,2,0.000314,0.000128,100000
3,3,0.000313,0.000110,100000
4,1,0.000314,0.000198,100000
4,2,0.000315,0.000142,100000
4,3,0.000483,0.000256,100000
5,1,0.000317,0.000166,100000
5,2,0.000319,0.000110,100000
5,3,0.000335,0.000171,100000
6,1,0.000317,0.000125,100000
6,2,0.000326,0.000113,100000
6,3,0.000321,0.000134,100000
7,1,0.000320,0.000165,100000
7,2,0.000325,0.000239,100000
7,3,0.000319,0.000126,100000
8,1,0.000326,0.000139,100000
8,2,0.000297,0.000106,100000
8,3,0.000290,0.000109,100000
