Thread Count,Trial,Parallel Time,Array Size,Chunk Size
1,1,5.326810000181198,100000,10000
1,2,5.302569999933243,100000,10000
1,3,5.307375,100000,10000
2,1,2.3839749999046327,100000,10000
2,2,2.3915650000572204,100000,10000
2,3,2.392129999876022,100000,10000
3,1,1.840210000038147,100000,10000
3,2,1.817545000076294,100000,10000
3,3,1.8054699997901917,100000,10000
4,1,1.7229900000095368,100000,10000
4,2,1.5318600001335143,100000,10000
4,3,1.5044299998283386,100000,10000
5,1,1.4160549998283387,100000,10000
5,2,1.4126800000667572,100000,10000
5,3,1.4179000000953674,100000,10000
6,1,1.3674300000667572,100000,10000
6,2,1.3884100000858306,100000,10000
6,3,1.3801199998855591,100000,10000
7,1,1.3466750001907348,100000,10000
7,2,1.4297549998760224,100000,10000
7,3,1.359539999961853,100000,10000
8,1,1.3211350002288818,100000,10000
8,2,1.3255799999237061,100000,10000
8,3,1.337454999923706,100000,10000
